n,phase,prover,n_reps,ok,wall_s_mean,wall_s_min,wall_s_max,wall_s_stdev,cpu_total_s_mean,cpu_total_s_min,cpu_total_s_max,cpu_total_s_stdev,cpu_user_s_mean,cpu_user_s_min,cpu_user_s_max,cpu_user_s_stdev,cpu_sys_s_mean,cpu_sys_s_min,cpu_sys_s_max,cpu_sys_s_stdev,rss_peak_bytes_mean,rss_peak_bytes_min,rss_peak_bytes_max,rss_peak_bytes_stdev,io_read_bytes_mean,io_read_bytes_min,io_read_bytes_max,io_read_bytes_stdev,io_write_bytes_mean,io_write_bytes_min,io_write_bytes_max,io_write_bytes_stdev,io_rchar_bytes_mean,io_rchar_bytes_min,io_rchar_bytes_max,io_rchar_bytes_stdev,io_wchar_bytes_mean,io_wchar_bytes_min,io_wchar_bytes_max,io_wchar_bytes_stdev,sys_cpu_iowait_s_mean,sys_cpu_iowait_s_min,sys_cpu_iowait_s_max,sys_cpu_iowait_s_stdev,cpu_pct_of_core
16,env,,1,True,77.88248509700134,77.88248509700134,77.88248509700134,0.0,221.74200900000005,221.74200900000005,221.74200900000005,0.0,209.72206,209.72206,209.72206,0.0,12.019948999999997,12.019948999999997,12.019948999999997,0.0,486109184.0,486109184.0,486109184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147884861.0,147884861.0,147884861.0,0.0,24525700.0,24525700.0,24525700.0,0.0,0.0,0.0,0.0,0.0,284.71357677380746
16,prove,rapidsnark,2,True,2.307541554999716,2.2873345639991385,2.3277485460002936,0.020206991000577545,0.6290815000030889,0.6180000000034767,0.6401630000027012,0.011081499999612276,0.18169649999998683,0.18112500000000864,0.182267999999965,0.0005714999999781867,0.22260949999999724,0.2163800000000009,0.22883899999999358,0.006229499999996335,67221504.0,67141632.0,67301376.0,79872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3103759.0,3068508.0,3139010.0,35251.0,1208.0,1152.0,1264.0,56.0,0.054999999999999716,0.05000000000000426,0.05999999999999517,0.0049999999999954525,27.261979254070955
16,prove,snarkjs,2,True,3.2021739844994954,3.1656711679997898,3.238676800999201,0.03650281649970566,1.9939450000000036,1.947917000000018,2.039972999999989,0.046027999999985525,1.3011635000000012,1.2625130000000127,1.3398139999999898,0.0386504999999886,0.6927815000000024,0.6854040000000055,0.7001589999999993,0.007377499999996928,345759744.0,345436160.0,346083328.0,323584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813718.0,5812461.0,5814975.0,1257.0,10714.5,10476.0,10953.0,238.5,0.0,0.0,0.0,0.0,62.26847790444654
16,verify,rapidsnark,2,True,2.360171465500116,2.290329108000151,2.430013823000081,0.06984235749996515,1.374343500000009,1.370740999999967,1.3779460000000512,0.0036025000000421414,0.9168850000000077,0.9096589999999765,0.924111000000039,0.007226000000031263,0.4574585000000013,0.4538350000000122,0.46108199999999044,0.0036234999999891215,182753280.0,155652096.0,209854464.0,27101184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4167023.5,4107200.0,4226847.0,59823.5,852.0,428.0,1276.0,424.0,0.0,0.0,0.0,0.0,58.230663326352364
16,verify,snarkjs,2,True,2.3747177959999135,2.3735901290001493,2.3758454629996777,0.0011276669997641875,1.316198000000007,1.3071340000000191,1.325261999999995,0.00906399999998797,0.9167045000000087,0.8661460000000147,0.9672630000000026,0.050558499999993955,0.3994934999999984,0.3579989999999924,0.4409880000000044,0.041494500000005985,213194752.0,212639744.0,213749760.0,555008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4219783.0,4218317.0,4221249.0,1466.0,1436.0,1436.0,1436.0,0.0,0.0,0.0,0.0,0.0,55.425448961433354
32,env,,1,True,101.35196614199504,101.35196614199504,101.35196614199504,0.0,441.34700499999985,441.34700499999985,441.34700499999985,0.0,428.18929,428.18929,428.18929,0.0,13.15771500000001,13.15771500000001,13.15771500000001,0.0,632152064.0,632152064.0,632152064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204619892.0,204619892.0,204619892.0,0.0,63106880.0,63106880.0,63106880.0,0.0,0.010000000000005116,0.010000000000005116,0.010000000000005116,0.0,435.4597367964906
32,prove,rapidsnark,2,True,2.312328252000043,2.2522463049999715,2.3724101990001145,0.06008194700007152,0.6702139999987722,0.6677269999993456,0.6727009999981988,0.0024869999994265868,0.1992750000000001,0.18744900000001508,0.2111009999999851,0.011825999999985015,0.21494750000000096,0.2145089999999925,0.2153860000000094,0.000438500000008446,67414016.0,67399680.0,67428352.0,14336.0,28672.0,0.0,57344.0,28672.0,0.0,0.0,0.0,0.0,3064373.5,3063529.0,3065218.0,844.5,1160.0,1160.0,1160.0,0.0,0.129999999999999,0.12999999999999545,0.13000000000000256,3.552713678800501e-15,28.984379679618243
32,prove,snarkjs,2,True,3.268056201499803,3.2591401169993333,3.276972286000273,0.008916084500469879,2.3792489999999944,2.3512629999999746,2.4072350000000142,0.02798600000001983,1.5244955000000004,1.4809599999999818,1.568031000000019,0.0435355000000186,0.854753499999994,0.8392039999999952,0.8703029999999927,0.015549499999998773,448843776.0,446439424.0,451248128.0,2404352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7185125.0,7143916.0,7226334.0,41209.0,9991.0,9436.0,10546.0,555.0,0.0,0.0,0.0,0.0,72.80318493017623
32,verify,rapidsnark,2,True,2.4464134130003004,2.3962503250004374,2.4965765010001633,0.05016308799986291,1.5806585000000268,1.3411700000000195,1.8201470000000342,0.23948850000000732,1.0455595000000244,0.9350170000000162,1.1561020000000326,0.1105425000000082,0.5350990000000024,0.4061530000000033,0.6640450000000016,0.12894599999999912,208095232.0,206086144.0,210104320.0,2009088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4222128.5,4208074.0,4236183.0,14054.5,1184.0,996.0,1372.0,188.0,0.0,0.0,0.0,0.0,64.61125873494518
32,verify,snarkjs,2,True,2.389890308500071,2.3669841760001873,2.412796440999955,0.022906132499883824,1.4114114999999785,1.3681580000000366,1.4546649999999204,0.04325349999994188,0.991858499999978,0.9810740000000351,1.002642999999921,0.01078449999994291,0.4195530000000005,0.38708400000000154,0.4520219999999995,0.03246899999999897,207783936.0,198520832.0,217047040.0,9263104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4172748.5,4130403.0,4215094.0,42345.5,3140.0,756.0,5524.0,2384.0,0.0,0.0,0.0,0.0,59.0575849853879
