size,phase,step,group,rep,prover,cmd,ok,returncode,scope,wall_s,cpu_user_s,cpu_sys_s,cpu_total_s,cpu_pct_of_core,cpu_pct_of_machine,rss_peak_bytes,rss_mean_bytes,io_read_bytes,io_write_bytes,io_rchar_bytes,io_wchar_bytes,io_read_mb_per_s,io_write_mb_per_s,sys_cpu_busy_s,sys_cpu_iowait_s,sys_mem_used_peak_bytes,sys_mem_used_delta_bytes,sys_read_bytes,sys_write_bytes,n_samples,samples_file,log_file
16,prove,fullprove_snarkjs,prove,4,snarkjs,snarkjs groth16 fullprove input.json circuit_js/circuit.wasm circuit_final.zkey proof.json public.json,True,0,process,3.1665071200000057,1.2327649999999721,0.6670480000000083,1.8998129999999804,59.9971175810897,3.749819848818106,344186880.0,139479106.06451613,0.0,0.0,5782397.0,12985.0,0.0,0.0,2.7999999999992724,0.0,1296818176.0,35545088.0,0.0,0.0,33,raw/samples/n16_fullprove_snarkjs_r4.csv,logs/n16_fullprove_snarkjs_r4.log
16,prove,fullprove_snarkjs,prove,5,snarkjs,snarkjs groth16 fullprove input.json circuit_js/circuit.wasm circuit_final.zkey proof.json public.json,True,0,process,3.1499847730000283,1.2335500000000366,0.608397999999994,1.8419480000000306,58.47482234797501,3.654676396748438,345075712.0,138076820.6451613,0.0,0.0,5792573.0,11385.0,0.0,0.0,2.719999999999345,0.0,1298194432.0,21458944.0,0.0,0.0,33,raw/samples/n16_fullprove_snarkjs_r5.csv,logs/n16_fullprove_snarkjs_r5.log
16,verify,verify_snarkjs,verify,1,snarkjs,snarkjs groth16 verify verification_key.json public.json proof.json,True,0,process,2.341642434999926,0.8730289999999741,0.4010190000000051,1.2740479999999792,54.40830679172499,3.400519174482812,155934720.0,69795483.82608695,0.0,0.0,4209907.0,5924.0,0.0,0.0,1.7699999999986176,0.0,1132163072.0,38981632.0,0.0,0.0,25,raw/samples/n16_verify_snarkjs_r1.csv,logs/n16_verify_snarkjs_r1.log
16,verify,verify_snarkjs,verify,2,snarkjs,snarkjs groth16 verify verification_key.json public.json proof.json,True,0,process,2.3473526700000775,0.8547439999999824,0.43196499999999105,1.2867089999999735,54.81532521484856,3.425957825928035,179855360.0,71095696.69565217,0.0,0.0,4203826.0,5828.0,0.0,0.0,1.8400000000001455,0.0,1143685120.0,16748544.0,0.0,0.0,25,raw/samples/n16_verify_snarkjs_r2.csv,logs/n16_verify_snarkjs_r2.log
16,verify,verify_snarkjs,verify,3,snarkjs,snarkjs groth16 verify verification_key.json public.json proof.json,True,0,process,2.3935374420000244,0.9392759999999498,0.409072000000009,1.3483479999999588,56.33285597877625,3.5208034986735157,208420864.0,70777811.47826087,0.0,0.0,4148176.0,1188.0,0.0,0.0,2.390000000001237,0.0,1171775488.0,34054144.0,0.0,0.0,25,raw/samples/n16_verify_snarkjs_r3.csv,logs/n16_verify_snarkjs_r3.log
16,verify,verify_snarkjs,verify,4,snarkjs,snarkjs groth16 verify verification_key.json public.json proof.json,True,0,process,2.3476753710000366,0.930084000000079,0.34029099999999346,1.2703750000000724,54.11203847399618,3.382002404624761,185585664.0,71403252.86956522,0.0,0.0,4264494.0,5796.0,0.0,0.0,1.9000000000014552,0.0,1148899328.0,34217984.0,0.0,0.0,25,raw/samples/n16_verify_snarkjs_r4.csv,logs/n16_verify_snarkjs_r4.log
16,verify,verify_snarkjs,verify,5,snarkjs,snarkjs groth16 verify verification_key.json public.json proof.json,True,0,process,2.3404037940000535,0.8953010000000177,0.36533500000000174,1.2606360000000194,53.864038471986454,3.3665024044991534,152514560.0,70631602.08695652,0.0,0.0,4259233.0,5956.0,0.0,0.0,1.819999999999709,0.0,1127632896.0,34455552.0,0.0,0.0,25,raw/samples/n16_verify_snarkjs_r5.csv,logs/n16_verify_snarkjs_r5.log
16,prove,witness_rapidsnark,prove,1,rapidsnark,snarkjs wtns calculate circuit_js/circuit.wasm input.json witness.wtns,True,0,process,2.087632505999977,0.15110799999990832,0.21424399999999366,0.365351999999902,17.50078133722574,1.0937988335766087,67297280.0,62473830.4,0.0,0.0,3054192.0,148.0,0.0,0.0,0.9500000000007276,0.0,1029226496.0,9863168.0,0.0,0.0,22,raw/samples/n16_witness_rapidsnark_r1.csv,logs/n16_witness_rapidsnark_r1.log
16,prove,prove_rapidsnark,prove,1,rapidsnark,docker exec debian_rapidsnark mnt/projet/rapidsnark/package/bin/prover mnt/projet/16/circuit_final.zkey mnt/projet/16/witness.wtns mnt/projet/16/proof.json mnt/projet/16/public.json,True,0,system,0.16229417800002466,0.005960000000072796,0.011548000000004777,0.29999999999984084,184.84951444148246,11.553094652592653,24641536.0,24641536.0,0.0,0.0,13021.0,1012.0,0.0,0.0,0.29999999999984084,0.10999999999999943,1014116352.0,3817472.0,0.0,0.0,3,raw/samples/n16_prove_rapidsnark_r1.csv,logs/n16_prove_rapidsnark_r1.log
16,prove,witness_rapidsnark,prove,2,rapidsnark,snarkjs wtns calculate circuit_js/circuit.wasm input.json witness.wtns,True,0,process,2.0829620090000844,0.15226799999993545,0.2179399999999987,0.37020799999993415,17.77315180979468,1.1108219881121675,67522560.0,62613913.6,0.0,0.0,3054418.0,148.0,0.0,0.0,0.9099999999998545,0.0,1033224192.0,2351104.0,0.0,0.0,22,raw/samples/n16_witness_rapidsnark_r2.csv,logs/n16_witness_rapidsnark_r2.log
